uid,study,longitude_study,latitude_study,pack_id,denning_date,denning_doy,denned,fall_tmax,summer_tmax_prev1,winter_tmax,fall_prcp,summer_prcp_prev1,winter_swe,tiNDVI_prev1,annual_pdo,annual_ao,sos_prev1,los_prev1,latitude_individual
1,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,1,2003-05-16,136,1,5,16,-7,143,193,68,13.90891361,0.220833333,0.071583333,137.3106384,20.80891132,62.79311
2,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,2,2001-05-10,130,1,1,16,-4,135,165,88,11.54162359,-0.59,-0.046416667,151.309906,16.39204025,62.71075
3,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,3,2005-05-19,139,1,3,21,-2,297,76,144,13.88853025,0.345,-0.192333333,126.038147,21.95401955,61.96162
4,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,4,2001-05-12,132,1,0,15,-5,185,213,172,10.87636614,-0.59,-0.046416667,154.9714813,15.44408274,62.52824
5,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,4,2002-04-07,97,1,-1,14,-7,126,254,116,10.6528511,-0.5625,-0.1615,169.4906006,14.95166016,62.62456
6,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,5,2005-04-23,113,1,3,21,-3,68,12,92,13.1304493,0.345,-0.192333333,131.6372681,18.91277409,62.12581
7,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,6,2001-05-09,129,1,0,16,-5,150,158,100,11.17097569,-0.59,-0.046416667,151.2582397,15.82817268,62.43054
8,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,6,2002-04-24,114,1,0,16,-7,86,166,48,13.20588923,-0.5625,-0.1615,146.8656616,18.98569298,62.42047
9,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,7,2000-05-03,124,1,0,16,-4,123,293,120,-9999,-1.063333333,0.1125,-9999,-9999,62.52257
10,"ADFG Nelchina Public Use Area, Alaska, USA",-146.81178,62.408363,8,2005-04-22,112,1,3,21,-2,299,76,144,13.87188911,0.345,-0.192333333,125.7902832,21.98268127,61.96596
11,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,9,2007-05-20,140,1,6,18,0,223,177,40,8.108010292,0.190833333,0.13775,138.4108887,19.73883057,53.8531381
12,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,9,2008-05-01,122,1,5,16,0,93,225,88,8.849129677,-0.195833333,0.26875,155.8549805,18.34882927,53.73783997
13,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,9,2009-04-27,117,1,7,17,-1,60,245,108,9.747300148,-1.2925,0.176833333,150.5848389,20.9493084,53.80230724
14,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,10,2010-04-11,101,1,0,14,-1,111,324,136,6.670649529,-0.6125,-0.330333333,170.2351074,13.63833904,51.34498
15,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,10,2011-04-27,117,1,6,16,-3,360,425,140,8.832161903,-0.3125,-1.04275,172.34375,16.44020462,50.66811
16,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,11,2003-04-29,119,1,4,15,-2,149,149,112,6.153502941,0.220833333,0.071583333,165.0544739,13.42799664,51.58950072
17,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,12,2010-04-15,105,1,3,16,2,255,180,40,7.198803186,-0.6125,-0.330333333,174.5240479,13.23872519,52.57847105
18,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,13,2001-04-14,104,1,7,18,1,124,305,60,7.01181078,-0.59,-0.046416667,151.5027618,18.4135685,54.42452637
19,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,14,2009-05-02,122,1,6,15,-1,73,287,160,7.172988415,-1.2925,0.176833333,173.6906738,14.10268021,53.61508
20,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,15,2007-04-20,110,1,7,20,0,171,146,40,7.639842033,0.190833333,0.13775,130.6032715,20.86236668,54.22524665
21,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,16,2001-04-23,113,1,7,18,3,99,309,44,7.885603428,-0.59,-0.046416667,144.2286377,19.21088219,54.21787635
22,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,17,2004-05-12,133,1,5,17,0,170,157,76,7.192527294,0.969166667,0.152083333,146.8325195,19.88401985,52.6206
23,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,17,2005-05-08,128,1,5,17,0,155,310,40,5.675846577,0.345,-0.192333333,159.3741455,16.98406982,52.62221156
24,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,17,2006-04-28,118,1,6,14,-1.5,217,396,92,6.315459251,0.375,-0.37525,142.7124634,19.05222893,52.50705522
25,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,18,2007-04-18,108,1,7,20,0,193,124,92,8.472978115,0.190833333,0.13775,124.0793457,22.11355209,54.60537591
26,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,18,2008-05-01,122,1,7,18,0,127,238,62,10.26899767,-0.195833333,0.26875,140.355957,22.20223713,54.9240551
27,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,19,2001-04-08,98,1,6,17,1,137,323,60,6.262105942,-0.59,-0.046416667,153.7651978,18.26557922,54.29498693
